Dateoil,Cushing..OK.WTI.Spot.Price.FOB..Dollars.per.Barrel.,COMEX,Date,CopperCOMEX
3-02-20,NA,"2,513",2020-02-03,2.513
3-02-20,NA,"3,579",2021-02-03,3.579
3-02-20,NA,"4,467",2022-02-03,4.467
3-02-20,NA,"4,063",2023-02-03,4.063
3-03-20,NA,"2,687",2017-03-03,2.687
3-03-20,NA,"2,58",2020-03-03,2.58
3-03-20,NA,"4,153",2021-03-03,4.153
3-03-20,NA,"4,772",2022-03-03,4.772
3-03-20,NA,"4,078",2023-03-03,4.078
3-04-20,NA,"2,598",2017-04-03,2.598
3-04-20,NA,"3,058",2018-04-03,3.058
3-04-20,NA,"2,947",2019-04-03,2.947
3-04-20,NA,"2,21",2020-04-03,2.21
3-04-20,NA,"4,06",2023-04-03,4.06
3-05-20,NA,"2,533",2017-05-03,2.533
3-05-20,NA,"3,059",2018-05-03,3.059
3-05-20,NA,"2,825",2019-05-03,2.825
3-05-20,NA,"4,543",2021-05-03,4.543
3-05-20,NA,"4,271",2022-05-03,4.271
3-05-20,NA,"3,832",2023-05-03,3.832
3-06-20,NA,"2,656",2019-06-03,2.656
3-06-20,NA,"2,497",2020-06-03,2.497
3-06-20,NA,"4,472",2021-06-03,4.472
3-06-20,NA,"4,478",2022-06-03,4.478
3-07-20,NA,"2,681",2017-07-03,2.681
3-07-20,NA,"2,906",2018-07-03,2.906
3-07-20,NA,"2,68",2019-07-03,2.68
3-07-20,NA,"3,779",2023-07-03,3.779
3-08-20,NA,"2,877",2017-08-03,2.877
3-08-20,NA,"2,754",2018-08-03,2.754
3-08-20,NA,"2,908",2020-08-03,2.908
3-08-20,NA,"4,383",2021-08-03,4.383
3-08-20,NA,"3,47",2022-08-03,3.47
3-08-20,NA,"3,876",2023-08-03,3.876
3-09-20,NA,"2,513",2019-09-03,2.513
3-09-20,NA,"2,958",2020-09-03,2.958
3-09-20,NA,"4,326",2021-09-03,4.326
3-10-20,NA,"2,949",2017-10-03,2.949
3-10-20,NA,"2,823",2018-10-03,2.823
3-10-20,NA,"2,546",2019-10-03,2.546
3-10-20,NA,"3,458",2022-10-03,3.458
3-10-20,NA,"3,616",2023-10-03,3.616
3-11-20,NA,"3,111",2017-11-03,3.111
3-11-20,NA,"3,087",2020-11-03,3.087
3-11-20,NA,"4,326",2021-11-03,4.326
3-11-20,NA,"3,457",2022-11-03,3.457
3-11-20,NA,"3,675",2023-11-03,3.675
3-12-20,NA,"2,8",2018-12-03,2.8
3-12-20,NA,"2,608",2019-12-03,2.608
3-12-20,NA,"3,479",2020-12-03,3.479
3-12-20,NA,"4,267",2021-12-03,4.267
4-01-20,NA,"2,548",2017-01-04,2.548
4-01-20,NA,"3,243",2018-01-04,3.243
4-01-20,NA,"2,652",2019-01-04,2.652
4-01-20,NA,"3,553",2021-01-04,3.553
4-01-20,NA,"4,466",2022-01-04,4.466
4-01-20,NA,"3,74",2023-01-04,3.74
4-01-20,NA,"3,831",2024-01-04,3.831
4-02-20,NA,"2,795",2019-02-04,2.795
4-02-20,NA,"2,548",2020-02-04,2.548
4-02-20,NA,"3,566",2021-02-04,3.566
4-02-20,NA,"4,484",2022-02-04,4.484
4-03-20,NA,"2,911",2019-03-04,2.911
4-03-20,NA,"2,593",2020-03-04,2.593
4-03-20,NA,"3,991",2021-03-04,3.991
4-03-20,NA,"4,929",2022-03-04,4.929
4-03-20,NA,"3,852",2024-03-04,3.852
4-04-20,NA,"2,606",2017-04-04,2.606
4-04-20,NA,"3,007",2018-04-04,3.007
4-04-20,NA,"2,909",2019-04-04,2.909
4-04-20,NA,"4,777",2022-04-04,4.777
4-04-20,NA,"3,984",2023-04-04,3.984
4-05-20,NA,"2,502",2017-05-04,2.502
4-05-20,NA,"3,066",2018-05-04,3.066
4-05-20,NA,"2,324",2020-05-04,2.324
4-05-20,NA,"4,536",2021-05-04,4.536
4-05-20,NA,"4,329",2022-05-04,4.329
4-05-20,NA,"3,85",2023-05-04,3.85
4-06-20,NA,"3,127",2018-06-04,3.127
4-06-20,NA,"2,674",2019-06-04,2.674
4-06-20,NA,"2,493",2020-06-04,2.493
4-06-20,NA,"4,538",2021-06-04,4.538
4-08-20,NA,"2,885",2017-08-04,2.885
4-08-20,NA,"2,89",2020-08-04,2.89
4-08-20,NA,"4,33",2021-08-04,4.33
4-08-20,NA,"3,483",2022-08-04,3.483
4-08-20,NA,"3,845",2023-08-04,3.845
4-09-20,NA,"2,584",2018-09-04,2.584
4-09-20,NA,"2,579",2019-09-04,2.579
4-09-20,NA,"3,047",2020-09-04,3.047
4-10-20,NA,"2,945",2017-10-04,2.945
4-10-20,NA,"2,765",2018-10-04,2.765
4-10-20,NA,"2,556",2019-10-04,2.556
4-10-20,NA,"4,247",2021-10-04,4.247
4-10-20,NA,"3,518",2022-10-04,3.518
4-10-20,NA,"3,584",2023-10-04,3.584
4-11-20,NA,"2,667",2019-11-04,2.667
4-11-20,NA,"3,101",2020-11-04,3.101
4-11-20,NA,"4,326",2021-11-04,4.326
4-11-20,NA,"3,715",2022-11-04,3.715
4-12-20,NA,"3,063",2017-12-04,3.063
4-12-20,NA,"2,749",2018-12-04,2.749
4-12-20,NA,"2,644",2019-12-04,2.644
4-12-20,NA,"3,514",2020-12-04,3.514
4-12-20,NA,"3,821",2023-12-04,3.821
5-01-20,NA,"2,53",2017-01-05,2.53
5-01-20,NA,"3,207",2018-01-05,3.207
5-01-20,NA,"3,641",2021-01-05,3.641
5-01-20,NA,"4,405",2022-01-05,4.405
5-01-20,NA,"3,818",2023-01-05,3.818
5-01-20,NA,"3,795",2024-01-05,3.795
5-02-20,NA,"3,211",2018-02-05,3.211
5-02-20,NA,"2,817",2019-02-05,2.817
5-02-20,NA,"2,579",2020-02-05,2.579
5-02-20,NA,"3,639",2021-02-05,3.639
5-02-20,NA,"3,772",2024-02-05,3.772
5-03-20,NA,"3,106",2018-03-05,3.106
5-03-20,NA,"2,936",2019-03-05,2.936
5-03-20,NA,"2,583",2020-03-05,2.583
5-03-20,NA,"4,087",2021-03-05,4.087
5-04-20,NA,"2,676",2017-04-05,2.676
5-04-20,NA,"3,07",2018-04-05,3.07
5-04-20,NA,"2,893",2019-04-05,2.893
5-04-20,NA,"4,149",2021-04-05,4.149
5-04-20,NA,"4,791",2022-04-05,4.791
5-04-20,NA,"3,998",2023-04-05,3.998
5-05-20,NA,"2,52",2017-05-05,2.52
5-05-20,NA,"2,341",2020-05-05,2.341
5-05-20,NA,"4,539",2021-05-05,4.539
5-05-20,NA,"4,285",2022-05-05,4.285
5-05-20,NA,"3,872",2023-05-05,3.872
5-06-20,NA,"2,555",2017-06-05,2.555
5-06-20,NA,"3,191",2018-06-05,3.191
5-06-20,NA,"2,627",2019-06-05,2.627
5-06-20,NA,"2,557",2020-06-05,2.557
5-06-20,NA,"3,763",2023-06-05,3.763
5-07-20,NA,"2,649",2017-07-05,2.649
5-07-20,NA,"2,814",2018-07-05,2.814
5-07-20,NA,"2,659",2019-07-05,2.659
5-07-20,NA,"3,425",2022-07-05,3.425
5-07-20,NA,"3,754",2023-07-05,3.754
5-08-20,NA,"2,537",2019-08-05,2.537
5-08-20,NA,"2,912",2020-08-05,2.912
5-08-20,NA,"4,346",2021-08-05,4.346
5-08-20,NA,"3,553",2022-08-05,3.553
5-09-20,NA,"3,108",2017-09-05,3.108
5-09-20,NA,"2,593",2018-09-05,2.593
5-09-20,NA,"2,625",2019-09-05,2.625
5-09-20,NA,"3,811",2023-09-05,3.811
5-10-20,NA,"3,032",2017-10-05,3.032
5-10-20,NA,"2,751",2018-10-05,2.751
5-10-20,NA,"2,965",2020-10-05,2.965
5-10-20,NA,"4,202",2021-10-05,4.202
5-10-20,NA,"3,533",2022-10-05,3.533
5-10-20,NA,"3,547",2023-10-05,3.547
5-11-20,NA,"2,756",2018-11-05,2.756
5-11-20,NA,"2,695",2019-11-05,2.695
5-11-20,NA,"3,105",2020-11-05,3.105
5-11-20,NA,"4,349",2021-11-05,4.349
5-12-20,NA,"2,921",2017-12-05,2.921
5-12-20,NA,"2,768",2018-12-05,2.768
5-12-20,NA,"2,649",2019-12-05,2.649
5-12-20,NA,"3,79",2022-12-05,3.79
5-12-20,NA,"3,773",2023-12-05,3.773
6-01-20,NA,"2,538",2017-01-06,2.538
6-01-20,NA,"2,801",2020-01-06,2.801
6-01-20,NA,"3,65",2021-01-06,3.65
6-01-20,NA,"4,348",2022-01-06,4.348
6-01-20,NA,"3,909",2023-01-06,3.909
6-02-20,NA,"2,646",2017-02-06,2.646
6-02-20,NA,"3,178",2018-02-06,3.178
6-02-20,NA,"2,836",2019-02-06,2.836
6-02-20,NA,"2,599",2020-02-06,2.599
6-02-20,NA,"4,044",2023-02-06,4.044
6-02-20,NA,"3,783",2024-02-06,3.783
6-03-20,NA,"2,643",2017-03-06,2.643
6-03-20,NA,"3,137",2018-03-06,3.137
6-03-20,NA,"2,919",2019-03-06,2.919
6-03-20,NA,"2,573",2020-03-06,2.573
6-03-20,NA,"4,101",2023-03-06,4.101
6-04-20,NA,"2,656",2017-04-06,2.656
6-04-20,NA,"3,054",2018-04-06,3.054
6-04-20,NA,"2,235",2020-04-06,2.235
6-04-20,NA,"4,127",2021-04-06,4.127
6-04-20,NA,"4,734",2022-04-06,4.734
6-04-20,NA,"4,026",2023-04-06,4.026
6-05-20,NA,"2,837",2019-05-06,2.837
6-05-20,NA,"2,353",2020-05-06,2.353
6-05-20,NA,"4,619",2021-05-06,4.619
6-05-20,NA,"4,262",2022-05-06,4.262
6-06-20,NA,"2,545",2017-06-06,2.545
6-06-20,NA,"3,255",2018-06-06,3.255
6-06-20,NA,"2,654",2019-06-06,2.654
6-06-20,NA,"4,44",2022-06-06,4.44
6-06-20,NA,"3,767",2023-06-06,3.767
6-07-20,NA,"2,652",2017-07-06,2.652
6-07-20,NA,"2,813",2018-07-06,2.813
6-07-20,NA,"2,766",2020-07-06,2.766
6-07-20,NA,"4,258",2021-07-06,4.258
6-07-20,NA,"3,418",2022-07-06,3.418
6-07-20,NA,"3,72",2023-07-06,3.72
6-08-20,NA,"2,721",2018-08-06,2.721
6-08-20,NA,"2,551",2019-08-06,2.551
6-08-20,NA,"2,906",2020-08-06,2.906
6-08-20,NA,"4,346",2021-08-06,4.346
6-09-20,NA,"3,132",2017-09-06,3.132
6-09-20,NA,"2,619",2018-09-06,2.619
6-09-20,NA,"2,616",2019-09-06,2.616
6-09-20,NA,"3,469",2022-09-06,3.469
6-09-20,NA,"3,749",2023-09-06,3.749
6-10-20,NA,"3,015",2017-10-06,3.015
6-10-20,NA,"2,966",2020-10-06,2.966
6-10-20,NA,"4,157",2021-10-06,4.157
6-10-20,NA,"3,475",2022-10-06,3.475
6-10-20,NA,"3,625",2023-10-06,3.625
6-11-20,NA,"3,151",2017-11-06,3.151
6-11-20,NA,"2,731",2018-11-06,2.731
6-11-20,NA,"2,661",2019-11-06,2.661
6-11-20,NA,"3,149",2020-11-06,3.149
6-11-20,NA,"3,71",2023-11-06,3.71
6-12-20,NA,"2,937",2017-12-06,2.937
6-12-20,NA,"2,741",2018-12-06,2.741
6-12-20,NA,"2,711",2019-12-06,2.711
6-12-20,NA,"4,337",2021-12-06,4.337
6-12-20,NA,"3,812",2022-12-06,3.812
6-12-20,NA,"3,717",2023-12-06,3.717
7-01-20,NA,"2,641",2019-01-07,2.641
7-01-20,NA,"2,804",2020-01-07,2.804
7-01-20,NA,"3,696",2021-01-07,3.696
7-01-20,NA,"4,403",2022-01-07,4.403
7-02-20,NA,"2,626",2017-02-07,2.626
7-02-20,NA,"3,077",2018-02-07,3.077
7-02-20,NA,"2,829",2019-02-07,2.829
7-02-20,NA,"2,559",2020-02-07,2.559
7-02-20,NA,"4,462",2022-02-07,4.462
7-02-20,NA,"4,089",2023-02-07,4.089
7-02-20,NA,"3,738",2024-02-07,3.738
7-03-20,NA,"2,61",2017-03-07,2.61
7-03-20,NA,"3,114",2018-03-07,3.114
7-03-20,NA,"2,912",2019-03-07,2.912
7-03-20,NA,"4,722",2022-03-07,4.722
7-03-20,NA,"3,987",2023-03-07,3.987
7-04-20,NA,"2,645",2017-04-07,2.645
7-04-20,NA,"2,289",2020-04-07,2.289
7-04-20,NA,"4,064",2021-04-07,4.064
7-04-20,NA,"4,695",2022-04-07,4.695
7-05-20,NA,"3,06",2018-05-07,3.06
7-05-20,NA,"2,794",2019-05-07,2.794
7-05-20,NA,"2,386",2020-05-07,2.386
7-05-20,NA,"4,766",2021-05-07,4.766
7-06-20,NA,"2,549",2017-06-07,2.549
7-06-20,NA,"3,268",2018-06-07,3.268
7-06-20,NA,"2,631",2019-06-07,2.631
7-06-20,NA,"4,535",2021-06-07,4.535
7-06-20,NA,"4,44",2022-06-07,4.44
7-06-20,NA,"3,755",2023-06-07,3.755
7-07-20,NA,"2,638",2017-07-07,2.638
7-07-20,NA,"2,788",2020-07-07,2.788
7-07-20,NA,"4,329",2021-07-07,4.329
7-07-20,NA,"3,582",2022-07-07,3.582
7-07-20,NA,"3,767",2023-07-07,3.767
7-08-20,NA,"2,908",2017-08-07,2.908
7-08-20,NA,"2,741",2018-08-07,2.741
7-08-20,NA,"2,565",2019-08-07,2.565
7-08-20,NA,"2,791",2020-08-07,2.791
7-08-20,NA,"3,813",2023-08-07,3.813
7-09-20,NA,"3,123",2017-09-07,3.123
7-09-20,NA,"2,604",2018-09-07,2.604
7-09-20,NA,"4,278",2021-09-07,4.278
7-09-20,NA,"3,438",2022-09-07,3.438
7-09-20,NA,"3,726",2023-09-07,3.726
7-10-20,NA,"2,572",2019-10-07,2.572
7-10-20,NA,"3,035",2020-10-07,3.035
7-10-20,NA,"4,251",2021-10-07,4.251
7-10-20,NA,"3,413",2022-10-07,3.413
7-11-20,NA,"3,083",2017-11-07,3.083
7-11-20,NA,"2,753",2018-11-07,2.753
7-11-20,NA,"2,724",2019-11-07,2.724
7-11-20,NA,"3,63",2022-11-07,3.63
7-11-20,NA,"3,67",2023-11-07,3.67
7-12-20,NA,"2,941",2017-12-07,2.941
7-12-20,NA,"2,758",2018-12-07,2.758
7-12-20,NA,"3,509",2020-12-07,3.509
7-12-20,NA,"4,338",2021-12-07,4.338
7-12-20,NA,"3,856",2022-12-07,3.856
7-12-20,NA,"3,785",2023-12-07,3.785
8-01-20,NA,"3,201",2018-01-08,3.201
8-01-20,NA,"2,661",2019-01-08,2.661
8-01-20,NA,"2,819",2020-01-08,2.819
8-01-20,NA,"3,674",2021-01-08,3.674
8-01-20,NA,"3,8",2024-01-08,3.8
8-02-20,NA,"2,661",2017-02-08,2.661
8-02-20,NA,"3,072",2018-02-08,3.072
8-02-20,NA,"2,81",2019-02-08,2.81
8-02-20,NA,"3,679",2021-02-08,3.679
8-02-20,NA,"4,46",2022-02-08,4.46
8-02-20,NA,"4,044",2023-02-08,4.044
8-02-20,NA,"3,706",2024-02-08,3.706
8-03-20,NA,"2,592",2017-03-08,2.592
8-03-20,NA,"3,059",2018-03-08,3.059
8-03-20,NA,"2,894",2019-03-08,2.894
8-03-20,NA,"4,104",2021-03-08,4.104
8-03-20,NA,"4,701",2022-03-08,4.701
8-03-20,NA,"4,042",2023-03-08,4.042
8-04-20,NA,"2,93",2019-04-08,2.93
8-04-20,NA,"2,278",2020-04-08,2.278
8-04-20,NA,"4,104",2021-04-08,4.104
8-04-20,NA,"4,72",2022-04-08,4.72
8-05-20,NA,"2,486",2017-05-08,2.486
8-05-20,NA,"3,041",2018-05-08,3.041
8-05-20,NA,"2,786",2019-05-08,2.786
8-05-20,NA,"2,409",2020-05-08,2.409
8-05-20,NA,"3,918",2023-05-08,3.918
8-06-20,NA,"2,607",2017-06-08,2.607
8-06-20,NA,"3,293",2018-06-08,3.293
8-06-20,NA,"2,57",2020-06-08,2.57
8-06-20,NA,"4,563",2021-06-08,4.563
8-06-20,NA,"4,459",2022-06-08,4.459
8-06-20,NA,"3,797",2023-06-08,3.797
8-07-20,NA,"2,656",2019-07-08,2.656
8-07-20,NA,"2,815",2020-07-08,2.815
8-07-20,NA,"4,272",2021-07-08,4.272
8-07-20,NA,"3,532",2022-07-08,3.532
8-08-20,NA,"2,943",2017-08-08,2.943
8-08-20,NA,"2,741",2018-08-08,2.741
8-08-20,NA,"2,602",2019-08-08,2.602
8-08-20,NA,"3,588",2022-08-08,3.588
8-08-20,NA,"3,748",2023-08-08,3.748
8-09-20,NA,"3,022",2017-09-08,3.022
8-09-20,NA,"3,013",2020-09-08,3.013
8-09-20,NA,"4,232",2021-09-08,4.232
8-09-20,NA,"3,536",2022-09-08,3.536
8-09-20,NA,"3,681",2023-09-08,3.681
8-10-20,NA,"2,755",2018-10-08,2.755
8-10-20,NA,"2,564",2019-10-08,2.564
8-10-20,NA,"3,042",2020-10-08,3.042
8-10-20,NA,"4,283",2021-10-08,4.283
8-11-20,NA,"3,093",2017-11-08,3.093
8-11-20,NA,"2,737",2018-11-08,2.737
8-11-20,NA,"2,678",2019-11-08,2.678
8-11-20,NA,"4,405",2021-11-08,4.405
8-11-20,NA,"3,706",2022-11-08,3.706
8-11-20,NA,"3,628",2023-11-08,3.628
8-12-20,NA,"2,955",2017-12-08,2.955
8-12-20,NA,"3,494",2020-12-08,3.494
8-12-20,NA,"4,391",2021-12-08,4.391
8-12-20,NA,"3,881",2022-12-08,3.881
8-12-20,NA,"3,82",2023-12-08,3.82
9-01-20,NA,"2,53",2017-01-09,2.53
9-01-20,NA,"3,195",2018-01-09,3.195
9-01-20,NA,"2,662",2019-01-09,2.662
9-01-20,NA,"2,811",2020-01-09,2.811
9-01-20,NA,"4,019",2023-01-09,4.019
9-01-20,NA,"3,749",2024-01-09,3.749
9-02-20,NA,"2,648",2017-02-09,2.648
9-02-20,NA,"3,025",2018-02-09,3.025
9-02-20,NA,"3,734",2021-02-09,3.734
9-02-20,NA,"4,601",2022-02-09,4.601
9-02-20,NA,"4,106",2023-02-09,4.106
9-02-20,NA,"3,686",2024-02-09,3.686
9-03-20,NA,"2,57",2017-03-09,2.57
9-03-20,NA,"3,116",2018-03-09,3.116
9-03-20,NA,"2,524",2020-03-09,2.524
9-03-20,NA,"4,02",2021-03-09,4.02
9-03-20,NA,"4,564",2022-03-09,4.564
9-03-20,NA,"4,055",2023-03-09,4.055
9-04-20,NA,"3,072",2018-04-09,3.072
9-04-20,NA,"2,932",2019-04-09,2.932
9-04-20,NA,"2,278",2020-04-09,2.278
9-04-20,NA,"4,051",2021-04-09,4.051
9-05-20,NA,"2,49",2017-05-09,2.49
9-05-20,NA,"3,04",2018-05-09,3.04
9-05-20,NA,"2,784",2019-05-09,2.784
9-05-20,NA,"4,193",2022-05-09,4.193
9-05-20,NA,"3,889",2023-05-09,3.889
9-06-20,NA,"2,646",2017-06-09,2.646
9-06-20,NA,"2,601",2020-06-09,2.601
9-06-20,NA,"4,537",2021-06-09,4.537
9-06-20,NA,"4,389",2022-06-09,4.389
9-06-20,NA,"3,789",2023-06-09,3.789
9-07-20,NA,"2,839",2018-07-09,2.839
9-07-20,NA,"2,625",2019-07-09,2.625
9-07-20,NA,"2,828",2020-07-09,2.828
9-07-20,NA,"4,353",2021-07-09,4.353
9-08-20,NA,"2,93",2017-08-09,2.93
9-08-20,NA,"2,756",2018-08-09,2.756
9-08-20,NA,"2,584",2019-08-09,2.584
9-08-20,NA,"4,287",2021-08-09,4.287
9-08-20,NA,"3,593",2022-08-09,3.593
9-08-20,NA,"3,768",2023-08-09,3.768
9-09-20,NA,"2,611",2019-09-09,2.611
9-09-20,NA,"3,04",2020-09-09,3.04
9-09-20,NA,"4,284",2021-09-09,4.284
9-09-20,NA,"3,581",2022-09-09,3.581
9-10-20,NA,"3,017",2017-10-09,3.017
9-10-20,NA,"2,795",2018-10-09,2.795
9-10-20,NA,"2,562",2019-10-09,2.562
9-10-20,NA,"3,08",2020-10-09,3.08
9-10-20,NA,"3,643",2023-10-09,3.643
9-11-20,NA,"3,08",2017-11-09,3.08
9-11-20,NA,"2,687",2018-11-09,2.687
9-11-20,NA,"3,152",2020-11-09,3.152
9-11-20,NA,"4,38",2021-11-09,4.38
9-11-20,NA,"3,742",2022-11-09,3.742
9-11-20,NA,"3,635",2023-11-09,3.635
9-12-20,NA,"2,747",2019-12-09,2.747
9-12-20,NA,"3,508",2020-12-09,3.508
9-12-20,NA,"4,33",2021-12-09,4.33
9-12-20,NA,"3,876",2022-12-09,3.876
10-01-20,NA,"2,604",2017-01-10,2.604
10-01-20,NA,"3,215",2018-01-10,3.215
10-01-20,NA,"2,644",2019-01-10,2.644
10-01-20,NA,"2,819",2020-01-10,2.819
10-01-20,NA,"4,345",2022-01-10,4.345
10-01-20,NA,"4,067",2023-01-10,4.067
10-01-20,NA,"3,781",2024-01-10,3.781
10-02-20,NA,"2,762",2017-02-10,2.762
10-02-20,NA,"2,558",2020-02-10,2.558
10-02-20,NA,"3,786",2021-02-10,3.786
10-02-20,NA,"4,658",2022-02-10,4.658
10-02-20,NA,"4,028",2023-02-10,4.028
10-03-20,NA,"2,587",2017-03-10,2.587
10-03-20,NA,"2,534",2020-03-10,2.534
10-03-20,NA,"4,042",2021-03-10,4.042
10-03-20,NA,"4,644",2022-03-10,4.644
10-03-20,NA,"4,046",2023-03-10,4.046
10-04-20,NA,"2,602",2017-04-10,2.602
10-04-20,NA,"3,131",2018-04-10,3.131
10-04-20,NA,"2,923",2019-04-10,2.923
10-04-20,NA,"3,987",2023-04-10,3.987
10-05-20,NA,"2,487",2017-05-10,2.487
10-05-20,NA,"3,093",2018-05-10,3.093
