2024-06-13,"9,733.00","9,860.00","132,075"
2024-06-12,"9,697.50","9,828.00","127,425"
2024-06-11,"9,567.00","9,700.00","127,325"
2024-06-10,"9,694.50","9,830.00","125,325"
2024-06-07,"9,840.00","9,955.00","123,800"
2024-06-06,"9,930.00","10,045.00","122,200"
2024-06-05,"9,769.00","9,890.00","120,000"
2024-06-04,"9,858.50","9,989.00","118,950"
2024-06-03,"9,985.50","10,107.00","116,000"
NA,"LME Copper Cash-Settlement","LME Copper 3-month","LME Copper stock"
2024-05-31,"9,985.00","10,110.00","116,475"
2024-05-30,"10,016.50","10,144.00","118,125"
2024-05-29,"10,294.00","10,430.00","117,300"
2024-05-28,"10,331.00","10,459.50","114,750"
2024-05-24,"10,256.50","10,367.00","112,675"
2024-05-23,"10,290.50","10,411.00","110,025"
2024-05-22,"10,447.00","10,569.00","110,250"
2024-05-21,"10,775.00","10,895.00","108,200"
2024-05-20,"10,857.00","10,930.00","105,900"
2024-05-17,"10,398.00","10,481.00","103,650"
2024-05-16,"10,308.00","10,400.00","104,425"
2024-05-15,"10,221.00","10,300.00","104,625"
2024-05-14,"10,077.00","10,186.00","104,750"
2024-05-13,"10,009.00","10,120.00","103,100"
2024-05-10,"9,942.00","10,063.00","103,450"
2024-05-09,"9,728.00","9,859.00","104,375"
2024-05-08,"9,740.00","9,875.00","106,000"
2024-05-07,"9,847.00","9,990.00","107,350"
2024-05-03,"9,737.00","9,856.00","111,300"
2024-05-02,"9,660.00","9,783.00","115,275"
2024-05-01,"9,791.00","9,895.00","115,275"
NA,"LME Copper Cash-Settlement","LME Copper 3-month","LME Copper stock"
2024-04-30,"9,973.50","10,071.00","116,125"
2024-04-29,"9,935.00","10,041.00","117,500"
2024-04-26,"9,869.00","9,995.00","118,550"
2024-04-25,"9,791.00","9,918.00","120,400"
2024-04-24,"9,671.00","9,785.00","120,225"
2024-04-23,"9,599.00","9,700.00","120,600"
2024-04-22,"9,814.50","9,905.00","121,200"
2024-04-19,"9,749.00","9,834.00","122,125"
2024-04-18,"9,617.00","9,706.50","122,925"
2024-04-17,"9,434.00","9,551.00","123,775"
2024-04-16,"9,377.00","9,490.00","123,875"
2024-04-15,"9,390.00","9,506.00","123,475"
2024-04-12,"9,402.00","9,535.00","124,425"
2024-04-11,"9,240.50","9,375.00","124,850"
2024-04-10,"9,365.00","9,490.00","123,475"
2024-04-09,"9,295.50","9,435.00","124,225"
2024-04-08,"9,301.00","9,419.00","114,275"
2024-04-05,"9,198.00","9,320.00","115,525"
2024-04-04,"9,257.00","9,370.00","112,525"
2024-04-03,"8,932.00","9,047.00","112,975"
2024-04-02,"8,920.00","9,024.00","111,925"
NA,"LME Copper Cash-Settlement","LME Copper 3-month","LME Copper stock"
2024-03-28,"8,729.00","8,835.00","112,475"
2024-03-27,"8,696.00","8,806.00","113,100"
2024-03-26,"8,764.00","8,880.00","117,400"
2024-03-25,"8,745.00","8,858.00","117,900"
2024-03-22,"8,741.00","8,856.00","113,850"
2024-03-21,"8,873.50","8,988.00","111,325"
2024-03-20,"8,790.00","8,898.00","112,325"
2024-03-19,"8,875.00","8,980.00","106,700"
2024-03-18,"8,973.00","9,083.00","106,825"
2024-03-15,"8,906.50","9,013.00","107,300"
2024-03-14,"8,791.50","8,890.00","108,050"
2024-03-13,"8,727.00","8,824.00","108,925"
2024-03-12,"8,566.00","8,664.00","110,900"
2024-03-11,"8,522.00","8,620.00","110,850"
2024-03-08,"8,552.50","8,647.00","112,800"
2024-03-07,"8,559.00","8,647.00","113,525"
2024-03-06,"8,441.00","8,537.00","113,775"
2024-03-05,"8,429.50","8,523.00","114,075"
2024-03-04,"8,437.00","8,530.00","116,775"
2024-03-01,"8,394.00","8,479.00","121,375"
NA,"LME Copper Cash-Settlement","LME Copper 3-month","LME Copper stock"
2024-02-29,"8,389.00","8,475.00","122,675"
2024-02-28,"8,340.50","8,439.50","124,825"
2024-02-27,"8,396.50","8,495.00","126,525"
2024-02-26,"8,373.00","8,478.00","127,825"
2024-02-23,"8,442.50","8,539.00","122,900"
2024-02-22,"8,482.00","8,575.00","122,775"
2024-02-21,"8,472.00","8,551.00","124,075"
2024-02-20,"8,366.50","8,449.00","125,925"
2024-02-19,"8,364.50","8,445.00","128,300"
2024-02-16,"8,322.00","8,410.00","130,675"
2024-02-15,"8,153.00","8,255.00","132,525"
2024-02-14,"8,133.50","8,234.00","133,825"
2024-02-13,"8,185.00","8,287.50","135,450"
2024-02-12,"8,085.50","8,191.00","136,300"
2024-02-09,"8,091.50","8,199.00","136,825"
2024-02-08,"8,202.00","8,304.00","136,825"
2024-02-07,"8,280.50","8,393.00","137,850"
2024-02-06,"8,280.00","8,385.00","138,800"
2024-02-05,"8,329.00","8,432.50","139,425"
2024-02-02,"8,400.00","8,515.00","140,225"
2024-02-01,"8,437.00","8,545.00","145,425"
NA,"LME Copper Cash-Settlement","LME Copper 3-month","LME Copper stock"
2024-01-31,"8,513.00","8,625.00","146,475"
2024-01-30,"8,462.00","8,568.00","148,475"
2024-01-29,"8,421.00","8,525.00","150,350"
2024-01-26,"8,447.00","8,547.50","151,350"
2024-01-25,"8,486.00","8,579.00","155,175"
2024-01-24,"8,460.00","8,552.00","157,725"
2024-01-23,"8,283.50","8,382.00","159,575"
2024-01-22,"8,254.50","8,340.00","156,750"
2024-01-19,"8,275.00","8,355.00","157,875"
2024-01-18,"8,189.00","8,280.00","157,325"
2024-01-17,"8,230.00","8,323.00","154,075"
2024-01-16,"8,280.00","8,374.00","154,725"
2024-01-15,"8,238.50","8,340.00","155,025"
2024-01-12,"8,289.00","8,390.00","155,825"
2024-01-11,"8,332.00","8,426.00","157,325"
2024-01-10,"8,285.00","8,389.00","158,900"
2024-01-09,"8,301.50","8,407.50","160,550"
2024-01-08,"8,295.00","8,402.50","161,725"
2024-01-05,"8,346.50","8,450.00","163,175"
2024-01-04,"8,375.00","8,470.50","164,450"
2024-01-03,"8,381.00","8,482.00","165,700"
2024-01-02,"8,430.00","8,539.50","165,700"
