"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"03/26/2024,""4.9658"",""4.9709"",""4.9767"",""4.9665"","""",""-0.05%"""
"03/25/2024,""4.9681"",""4.9720"",""4.9759"",""4.9674"","""",""0.02%"""
"03/22/2024,""4.9672"",""4.9738"",""4.9767"",""4.9690"","""",""-0.08%"""
"03/21/2024,""4.9711"",""4.9714"",""4.9785"",""4.9683"","""",""0.06%"""
"03/20/2024,""4.9681"",""4.9733"",""4.9840"",""4.9677"","""",""-0.07%"""
"03/19/2024,""4.9717"",""4.9733"",""4.9780"",""4.9683"","""",""0.04%"""
"03/18/2024,""4.9695"",""4.9737"",""4.9762"",""4.9675"","""",""0.03%"""
"03/15/2024,""4.9682"",""4.9714"",""4.9755"",""4.9608"","""",""0.00%"""
"03/14/2024,""4.9683"",""4.9702"",""4.9755"",""4.9651"","""",""0.02%"""
"03/13/2024,""4.9672"",""4.9664"",""4.9745"",""4.9637"","""",""0.06%"""
"03/12/2024,""4.9643"",""4.9668"",""4.9717"",""4.9534"","""",""-0.02%"""
"03/11/2024,""4.9652"",""4.9686"",""4.9705"",""4.9612"","""",""0.06%"""
"03/08/2024,""4.9621"",""4.9693"",""4.9783"",""4.9599"","""",""-0.08%"""
"03/07/2024,""4.9660"",""4.9699"",""4.9755"",""4.9665"","""",""-0.03%"""
"03/06/2024,""4.9674"",""4.9720"",""4.9759"",""4.9667"","""",""-0.03%"""
"03/05/2024,""4.9688"",""4.9725"",""4.9797"",""4.9686"","""",""-0.01%"""
"03/04/2024,""4.9695"",""4.9671"",""4.9759"",""4.9653"","""",""0.12%"""
"03/01/2024,""4.9633"",""4.9692"",""4.9799"",""4.9553"","""",""-0.06%"""
"02/29/2024,""4.9661"",""4.9689"",""4.9756"",""4.9644"","""",""0.03%"""
"02/28/2024,""4.9645"",""4.9668"",""4.9739"",""4.9637"","""",""0.04%"""
"02/27/2024,""4.9623"",""4.9708"",""4.9755"",""4.9630"","""",""-0.12%"""
"02/26/2024,""4.9685"",""4.9778"",""4.9808"",""4.9685"","""",""-0.05%"""
"02/23/2024,""4.9712"",""4.9774"",""4.9800"",""4.9701"","""",""-0.04%"""
"02/22/2024,""4.9730"",""4.9766"",""4.9885"",""4.9651"","""",""0.05%"""
"02/21/2024,""4.9703"",""4.9753"",""4.9802"",""4.9706"","""",""-0.01%"""
"02/20/2024,""4.9710"",""4.9771"",""4.9806"",""4.9709"","""",""-0.02%"""
"02/19/2024,""4.9719"",""4.9776"",""4.9823"",""4.9714"","""",""-0.02%"""
"02/16/2024,""4.9730"",""4.9770"",""4.9821"",""4.9661"","""",""-0.02%"""
"02/15/2024,""4.9738"",""4.9756"",""4.9891"",""4.9709"","""",""0.02%"""
"02/14/2024,""4.9729"",""4.9766"",""4.9812"",""4.9709"","""",""-0.01%"""
"02/13/2024,""4.9733"",""4.9715"",""4.9805"",""4.9533"","""",""0.07%"""
"02/12/2024,""4.9698"",""4.9765"",""4.9830"",""4.9705"","""",""-0.04%"""
"02/09/2024,""4.9718"",""4.9775"",""4.9822"",""4.9714"","""",""-0.02%"""
"02/08/2024,""4.9727"",""4.9757"",""4.9813"",""4.9710"","""",""0.00%"""
"02/07/2024,""4.9729"",""4.9763"",""4.9806"",""4.9712"","""",""-0.01%"""
"02/06/2024,""4.9734"",""4.9749"",""4.9807"",""4.9700"","""",""0.03%"""
"02/05/2024,""4.9717"",""4.9715"",""4.9784"",""4.9682"","""",""0.11%"""
"02/02/2024,""4.9662"",""4.9718"",""4.9781"",""4.9587"","""",""-0.05%"""
"02/01/2024,""4.9685"",""4.9738"",""4.9802"",""4.9640"","""",""-0.07%"""
"01/31/2024,""4.9721"",""4.9763"",""4.9832"",""4.9630"","""",""-0.02%"""
"01/30/2024,""4.9732"",""4.9770"",""4.9818"",""4.9689"","""",""0.00%"""
"01/29/2024,""4.9731"",""4.9736"",""4.9822"",""4.9676"","""",""0.00%"""
"01/26/2024,""4.9730"",""4.9750"",""4.9818"",""4.9725"","""",""-0.02%"""
"01/25/2024,""4.9742"",""4.9769"",""4.9816"",""4.9694"","""",""0.02%"""
"01/24/2024,""4.9732"",""4.9763"",""4.9817"",""4.9682"","""",""0.00%"""
"01/23/2024,""4.9733"",""4.9756"",""4.9811"",""4.9727"","""",""0.03%"""
"01/22/2024,""4.9720"",""4.9772"",""4.9825"",""4.9731"","""",""0.02%"""
"01/19/2024,""4.9708"",""4.9763"",""4.9814"",""4.9714"","""",""-0.05%"""
"01/18/2024,""4.9731"",""4.9756"",""4.9816"",""4.9724"","""",""0.01%"""
"01/17/2024,""4.9726"",""4.9767"",""4.9804"",""4.9690"","""",""-0.02%"""
"01/16/2024,""4.9736"",""4.9736"",""4.9826"",""4.9715"","""",""0.09%"""
"01/15/2024,""4.9691"",""4.9712"",""4.9783"",""4.9692"","""",""0.00%"""
"01/12/2024,""4.9691"",""4.9724"",""4.9806"",""4.9688"","""",""0.00%"""
"01/11/2024,""4.9690"",""4.9722"",""4.9781"",""4.9574"","""",""0.00%"""
"01/10/2024,""4.9691"",""4.9725"",""4.9769"",""4.9682"","""",""0.02%"""
"01/09/2024,""4.9680"",""4.9728"",""4.9769"",""4.9679"","""",""-0.02%"""
"01/08/2024,""4.9690"",""4.9750"",""4.9781"",""4.9681"","""",""0.01%"""
"01/05/2024,""4.9684"",""4.9755"",""4.9832"",""4.9603"","""",""-0.05%"""
"01/04/2024,""4.9711"",""4.9720"",""4.9781"",""4.9687"","""",""0.05%"""
"01/03/2024,""4.9688"",""4.9738"",""4.9773"",""4.9672"","""",""0.07%"""
"01/02/2024,""4.9654"",""4.9743"",""4.9773"",""4.9643"","""",""-0.11%"""
"01/01/2024,""4.9709"",""4.9770"",""4.9770"",""4.9729"","""",""0.02%"""
"12/29/2023,""4.9700"",""4.9669"",""4.9787"",""4.9630"","""",""0.15%"""
"12/28/2023,""4.9627"",""4.9748"",""4.9791"",""4.9630"","""",""-0.18%"""
"12/27/2023,""4.9715"",""4.9699"",""4.9784"",""4.9670"","""",""0.09%"""
"12/26/2023,""4.9668"",""4.9698"",""4.9749"",""4.9669"","""",""0.05%"""
"12/25/2023,""4.9645"",""4.9729"",""4.9752"",""4.9623"","""",""-0.03%"""
"12/22/2023,""4.9658"",""4.9696"",""4.9760"",""4.9653"","""",""-0.01%"""
"12/21/2023,""4.9665"",""4.9693"",""4.9756"",""4.9661"","""",""0.02%"""
"12/20/2023,""4.9657"",""4.9710"",""4.9752"",""4.9658"","""",""-0.05%"""
"12/19/2023,""4.9681"",""4.9711"",""4.9760"",""4.9650"","""",""0.02%"""
"12/18/2023,""4.9669"",""4.9704"",""4.9740"",""4.9647"","""",""0.02%"""
"12/15/2023,""4.9658"",""4.9725"",""4.9791"",""4.9615"","""",""-0.05%"""
"12/14/2023,""4.9682"",""4.9673"",""4.9781"",""4.9636"","""",""0.10%"""
"12/13/2023,""4.9634"",""4.9732"",""4.9888"",""4.9641"","""",""-0.12%"""
"12/12/2023,""4.9693"",""4.9717"",""4.9818"",""4.9625"","""",""0.02%"""
"12/11/2023,""4.9683"",""4.9688"",""4.9768"",""4.9656"","""",""0.11%"""
"12/08/2023,""4.9627"",""4.9683"",""4.9755"",""4.9587"","""",""-0.04%"""
"12/07/2023,""4.9648"",""4.9700"",""4.9727"",""4.9614"","""",""0.02%"""
"12/06/2023,""4.9639"",""4.9637"",""4.9726"",""4.9605"","""",""0.08%"""
"12/05/2023,""4.9601"",""4.9687"",""4.9792"",""4.9592"","""",""-0.11%"""
"12/04/2023,""4.9658"",""4.9629"",""4.9739"",""4.9616"","""",""0.18%"""
"12/01/2023,""4.9571"",""4.9700"",""4.9789"",""4.9584"","""",""-0.19%"""
"11/30/2023,""4.9664"",""4.9733"",""4.9776"",""4.9636"","""",""-0.04%"""
"11/29/2023,""4.9685"",""4.9704"",""4.9765"",""4.9681"","""",""0.03%"""
"11/28/2023,""4.9672"",""4.9721"",""4.9766"",""4.9676"","""",""-0.05%"""
"11/27/2023,""4.9695"",""4.9680"",""4.9749"",""4.9655"","""",""0.16%"""
"11/24/2023,""4.9617"",""4.9699"",""4.9738"",""4.9648"","""",""-0.10%"""
"11/23/2023,""4.9668"",""4.9710"",""4.9790"",""4.9660"","""",""-0.04%"""
"11/22/2023,""4.9689"",""4.9696"",""4.9752"",""4.9651"","""",""0.05%"""
"11/21/2023,""4.9665"",""4.9722"",""4.9751"",""4.9654"","""",""-0.06%"""
"11/20/2023,""4.9694"",""4.9689"",""4.9763"",""4.9672"","""",""0.13%"""
"11/17/2023,""4.9628"",""4.9705"",""4.9756"",""4.9655"","""",""-0.09%"""
"11/16/2023,""4.9673"",""4.9681"",""4.9752"",""4.9641"","""",""0.04%"""
"11/15/2023,""4.9655"",""4.9718"",""4.9759"",""4.9633"","""",""-0.06%"""
"11/14/2023,""4.9684"",""4.9723"",""4.9906"",""4.9669"","""",""0.00%"""
"11/13/2023,""4.9684"",""4.9711"",""4.9768"",""4.9657"","""",""0.03%"""
"11/10/2023,""4.9668"",""4.9681"",""4.9757"",""4.9661"","""",""0.03%"""
"11/09/2023,""4.9652"",""4.9663"",""4.9724"",""4.9630"","""",""0.04%"""
"11/08/2023,""4.9633"",""4.9673"",""4.9706"",""4.9621"","""",""-0.02%"""
"11/07/2023,""4.9644"",""4.9683"",""4.9728"",""4.9644"","""",""-0.01%"""
"11/06/2023,""4.9649"",""4.9696"",""4.9743"",""4.9631"","""",""-0.03%"""
"11/03/2023,""4.9662"",""4.9680"",""4.9823"",""4.9635"","""",""0.03%"""
"11/02/2023,""4.9649"",""4.9680"",""4.9738"",""4.9636"","""",""0.01%"""
"11/01/2023,""4.9645"",""4.9647"",""4.9800"",""4.9632"","""",""0.04%"""
"10/31/2023,""4.9627"",""4.9639"",""4.9721"",""4.9600"","""",""0.04%"""
"10/30/2023,""4.9608"",""4.9634"",""4.9686"",""4.9578"","""",""-0.02%"""
"10/27/2023,""4.9619"",""4.9641"",""4.9704"",""4.9587"","""",""-0.01%"""
"10/26/2023,""4.9625"",""4.9636"",""4.9700"",""4.9576"","""",""0.09%"""
"10/25/2023,""4.9582"",""4.9650"",""4.9683"",""4.9571"","""",""-0.05%"""
"10/24/2023,""4.9609"",""4.9703"",""4.9733"",""4.9587"","""",""-0.12%"""
"10/23/2023,""4.9668"",""4.9740"",""4.9781"",""4.9669"","""",""-0.05%"""
"10/20/2023,""4.9695"",""4.9745"",""4.9792"",""4.9693"","""",""-0.02%"""
"10/19/2023,""4.9703"",""4.9709"",""4.9822"",""4.9681"","""",""0.05%"""
"10/18/2023,""4.9680"",""4.9686"",""4.9752"",""4.9655"","""",""0.05%"""
"10/17/2023,""4.9656"",""4.9647"",""4.9726"",""4.9616"","""",""0.09%"""
"10/16/2023,""4.9611"",""4.9660"",""4.9710"",""4.9612"","""",""-0.06%"""
"10/13/2023,""4.9643"",""4.9620"",""4.9689"",""4.9601"","""",""0.11%"""
"10/12/2023,""4.9587"",""4.9648"",""4.9685"",""4.9534"","""",""-0.02%"""
"10/11/2023,""4.9598"",""4.9653"",""4.9706"",""4.9548"","""",""-0.04%"""
"10/10/2023,""4.9620"",""4.9649"",""4.9711"",""4.9604"","""",""0.02%"""
"10/09/2023,""4.9610"",""4.9561"",""4.9718"",""4.9500"","""",""-0.05%"""
"10/06/2023,""4.9635"",""4.9689"",""4.9741"",""4.9459"","""",""-0.05%"""
"10/05/2023,""4.9658"",""4.9748"",""4.9777"",""4.9665"","""",""-0.10%"""
"10/04/2023,""4.9708"",""4.9770"",""4.9841"",""4.9698"","""",""-0.03%"""
"10/03/2023,""4.9722"",""4.9745"",""4.9799"",""4.9653"","""",""0.06%"""
"10/02/2023,""4.9694"",""4.9707"",""4.9783"",""4.9672"","""",""0.02%"""
"09/29/2023,""4.9682"",""4.9718"",""4.9784"",""4.9683"","""",""0.02%"""
"09/28/2023,""4.9673"",""4.9755"",""4.9804"",""4.9705"","""",""-0.07%"""
"09/27/2023,""4.9709"",""4.9718"",""4.9784"",""4.9672"","""",""0.07%"""
"09/26/2023,""4.9675"",""4.9690"",""4.9766"",""4.9643"","""",""0.06%"""
"09/25/2023,""4.9646"",""4.9672"",""4.9719"",""4.9619"","""",""-0.01%"""
"09/22/2023,""4.9652"",""4.9700"",""4.9839"",""4.9545"","""",""-0.03%"""
"09/21/2023,""4.9665"",""4.9703"",""4.9759"",""4.9633"","""",""-0.02%"""
"09/20/2023,""4.9676"",""4.9714"",""4.9770"",""4.9591"","""",""0.02%"""
"09/19/2023,""4.9664"",""4.9667"",""4.9762"",""4.9644"","""",""0.02%"""
"09/18/2023,""4.9655"",""4.9711"",""4.9738"",""4.9645"","""",""0.02%"""
"09/15/2023,""4.9644"",""4.9682"",""4.9783"",""4.9644"","""",""-0.05%"""
"09/14/2023,""4.9668"",""4.9683"",""4.9793"",""4.9592"","""",""0.02%"""
"09/13/2023,""4.9656"",""4.9732"",""4.9788"",""4.9420"","""",""-0.10%"""
"09/12/2023,""4.9706"",""4.9624"",""4.9790"",""4.9584"","""",""0.25%"""
"09/11/2023,""4.9584"",""4.9585"",""4.9713"",""4.9576"","""",""0.00%"""
"09/08/2023,""4.9585"",""4.9679"",""4.9703"",""4.9591"","""",""-0.08%"""
"09/07/2023,""4.9626"",""4.9619"",""4.9681"",""4.9553"","""",""0.08%"""
"09/06/2023,""4.9586"",""4.9592"",""4.9668"",""4.9485"","""",""0.05%"""
"09/05/2023,""4.9563"",""4.9463"",""4.9596"",""4.9424"","""",""0.34%"""
"09/04/2023,""4.9397"",""4.9502"",""4.9519"",""4.9433"","""",""-0.11%"""
"09/01/2023,""4.9449"",""4.9406"",""4.9543"",""4.9376"","""",""0.16%"""
"08/31/2023,""4.9370"",""4.9419"",""4.9453"",""4.9356"","""",""-0.02%"""
"08/30/2023,""4.9382"",""4.9404"",""4.9472"",""4.9369"","""",""0.02%"""
"08/29/2023,""4.9371"",""4.9386"",""4.9529"",""4.9359"","""",""0.02%"""
"08/28/2023,""4.9362"",""4.9394"",""4.9464"",""4.9325"","""",""0.02%"""
"08/25/2023,""4.9351"",""4.9391"",""4.9465"",""4.9296"","""",""-0.01%"""
"08/24/2023,""4.9356"",""4.9384"",""4.9423"",""4.9310"","""",""0.07%"""
"08/23/2023,""4.9320"",""4.9385"",""4.9467"",""4.9240"","""",""-0.02%"""
"08/22/2023,""4.9328"",""4.9384"",""4.9448"",""4.9247"","""",""-0.01%"""
"08/21/2023,""4.9333"",""4.9450"",""4.9482"",""4.9347"","""",""-0.11%"""
"08/18/2023,""4.9387"",""4.9440"",""4.9501"",""4.9388"","""",""0.02%"""
"08/17/2023,""4.9375"",""4.9348"",""4.9464"",""4.9205"","""",""0.11%"""
"08/16/2023,""4.9321"",""4.9416"",""4.9436"",""4.9306"","""",""-0.10%"""
"08/15/2023,""4.9369"",""4.9409"",""4.9448"",""4.9309"","""",""0.00%"""
"08/14/2023,""4.9371"",""4.9406"",""4.9468"",""4.9353"","""",""0.12%"""
"08/11/2023,""4.9311"",""4.9428"",""4.9488"",""4.9349"","""",""-0.17%"""
"08/10/2023,""4.9396"",""4.9461"",""4.9559"",""4.9387"","""",""-0.05%"""
"08/09/2023,""4.9421"",""4.9490"",""4.9523"",""4.9422"","""",""-0.06%"""
"08/08/2023,""4.9449"",""4.9503"",""4.9554"",""4.9437"","""",""-0.06%"""
"08/07/2023,""4.9481"",""4.9486"",""4.9561"",""4.9428"","""",""0.12%"""
"08/04/2023,""4.9421"",""4.9472"",""4.9599"",""4.9425"","""",""-0.01%"""
"08/03/2023,""4.9425"",""4.9350"",""4.9523"",""4.9313"","""",""0.23%"""
"08/02/2023,""4.9310"",""4.9314"",""4.9476"",""4.9265"","""",""0.07%"""
"08/01/2023,""4.9276"",""4.9309"",""4.9383"",""4.9276"","""",""-0.03%"""
"07/31/2023,""4.9291"",""4.9345"",""4.9398"",""4.9275"","""",""0.01%"""
"07/28/2023,""4.9286"",""4.9296"",""4.9388"",""4.9163"","""",""0.09%"""
"07/27/2023,""4.9241"",""4.9228"",""4.9376"",""4.9214"","""",""0.06%"""
"07/26/2023,""4.9212"",""4.9255"",""4.9344"",""4.9191"","""",""0.02%"""
"07/25/2023,""4.9204"",""4.9194"",""4.9306"",""4.9125"","""",""0.12%"""
"07/24/2023,""4.9146"",""4.9378"",""4.9403"",""4.9138"","""",""-0.35%"""
"07/21/2023,""4.9318"",""4.9335"",""4.9412"",""4.9282"","""",""0.06%"""
"07/20/2023,""4.9287"",""4.9372"",""4.9447"",""4.9275"","""",""-0.09%"""
"07/19/2023,""4.9329"",""4.9415"",""4.9528"",""4.9282"","""",""-0.05%"""
"07/18/2023,""4.9353"",""4.9412"",""4.9465"",""4.9352"","""",""-0.04%"""
"07/17/2023,""4.9372"",""4.9387"",""4.9465"",""4.9257"","""",""0.11%"""
"07/14/2023,""4.9318"",""4.9376"",""4.9510"",""4.9324"","""",""-0.03%"""
"07/13/2023,""4.9332"",""4.9477"",""4.9513"",""4.9331"","""",""-0.21%"""
"07/12/2023,""4.9436"",""4.9496"",""4.9606"",""4.9446"","""",""-0.03%"""
"07/11/2023,""4.9451"",""4.9478"",""4.9561"",""4.9436"","""",""0.03%"""
"07/10/2023,""4.9437"",""4.9481"",""4.9560"",""4.9419"","""",""0.02%"""
"07/07/2023,""4.9429"",""4.9515"",""4.9699"",""4.9445"","""",""-0.10%"""
"07/06/2023,""4.9479"",""4.9531"",""4.9584"",""4.9415"","""",""0.07%"""
"07/05/2023,""4.9446"",""4.9528"",""4.9562"",""4.9439"","""",""-0.08%"""
"07/04/2023,""4.9484"",""4.9503"",""4.9577"",""4.9454"","""",""0.05%"""
"07/03/2023,""4.9459"",""4.9572"",""4.9637"",""4.9479"","""",""-0.19%"""
"06/30/2023,""4.9552"",""4.9646"",""4.9686"",""4.9538"","""",""-0.13%"""
"06/29/2023,""4.9618"",""4.9626"",""4.9697"",""4.9593"","""",""0.06%"""
"06/28/2023,""4.9589"",""4.9609"",""4.9683"",""4.9540"","""",""0.05%"""
"06/27/2023,""4.9566"",""4.9577"",""4.9668"",""4.9508"","""",""0.12%"""
"06/26/2023,""4.9505"",""4.9573"",""4.9637"",""4.9488"","""",""0.04%"""
"06/23/2023,""4.9485"",""4.9649"",""4.9681"",""4.9496"","""",""-0.25%"""
"06/22/2023,""4.9611"",""4.9618"",""4.9696"",""4.9596"","""",""0.08%"""
"06/21/2023,""4.9571"",""4.9640"",""4.9678"",""4.9575"","""",""-0.06%"""
"06/20/2023,""4.9599"",""4.9615"",""4.9679"",""4.9558"","""",""0.05%"""
"06/19/2023,""4.9572"",""4.9605"",""4.9658"",""4.9542"","""",""0.05%"""
"06/16/2023,""4.9548"",""4.9608"",""4.9653"",""4.9498"","""",""-0.04%"""
"06/15/2023,""4.9567"",""4.9545"",""4.9658"",""4.9462"","""",""0.10%"""
"06/14/2023,""4.9516"",""4.9620"",""4.9665"",""4.9319"","""",""-0.13%"""
"06/13/2023,""4.9581"",""4.9566"",""4.9700"",""4.9508"","""",""0.14%"""
"06/12/2023,""4.9514"",""4.9574"",""4.9612"",""4.9468"","""",""-0.01%"""
"06/09/2023,""4.9521"",""4.9536"",""4.9609"",""4.9504"","""",""0.06%"""
"06/08/2023,""4.9493"",""4.9606"",""4.9643"",""4.9497"","""",""-0.12%"""
"06/07/2023,""4.9552"",""4.9617"",""4.9647"",""4.9545"","""",""-0.04%"""
"06/06/2023,""4.9572"",""4.9656"",""4.9740"",""4.9561"","""",""-0.04%"""
"06/05/2023,""4.9593"",""4.9668"",""4.9852"",""4.9543"","""",""-0.03%"""
"06/02/2023,""4.9606"",""4.9687"",""4.9706"",""4.9504"","""",""-0.04%"""
"06/01/2023,""4.9627"",""4.9678"",""4.9724"",""4.9592"","""",""-0.01%"""
"05/31/2023,""4.9634"",""4.9687"",""4.9746"",""4.9577"","""",""0.02%"""
"05/30/2023,""4.9625"",""4.9601"",""4.9701"",""4.9576"","""",""0.11%"""
"05/29/2023,""4.9570"",""4.9579"",""4.9630"",""4.9535"","""",""0.09%"""
"05/26/2023,""4.9523"",""4.9487"",""4.9647"",""4.9475"","""",""0.17%"""
"05/25/2023,""4.9438"",""4.9629"",""4.9668"",""4.9457"","""",""-0.30%"""
"05/24/2023,""4.9585"",""4.9720"",""4.9755"",""4.9583"","""",""-0.20%"""
"05/23/2023,""4.9684"",""4.9713"",""4.9759"",""4.9659"","""",""0.02%"""
"05/22/2023,""4.9673"",""4.9829"",""4.9904"",""4.9680"","""",""-0.11%"""
"05/19/2023,""4.9727"",""4.9736"",""4.9833"",""4.9679"","""",""0.04%"""
"05/18/2023,""4.9705"",""4.9615"",""4.9770"",""4.9573"","""",""0.25%"""
"05/17/2023,""4.9581"",""4.9489"",""4.9668"",""4.9461"","""",""0.26%"""
"05/16/2023,""4.9450"",""4.9399"",""4.9545"",""4.9345"","""",""0.18%"""
"05/15/2023,""4.9362"",""4.9327"",""4.9447"",""4.9256"","""",""0.22%"""
"05/12/2023,""4.9256"",""4.9304"",""4.9388"",""4.9231"","""",""-0.01%"""
"05/11/2023,""4.9260"",""4.9240"",""4.9375"",""4.9197"","""",""0.12%"""
"05/10/2023,""4.9201"",""4.9197"",""4.9376"",""4.9155"","""",""0.11%"""
"05/09/2023,""4.9146"",""4.9227"",""4.9268"",""4.9155"","""",""-0.05%"""
"05/08/2023,""4.9171"",""4.9342"",""4.9395"",""4.9167"","""",""-0.14%"""
"05/05/2023,""4.9241"",""4.9280"",""4.9342"",""4.9106"","""",""0.00%"""
"05/04/2023,""4.9242"",""4.9271"",""4.9352"",""4.9240"","""",""0.02%"""
"05/03/2023,""4.9234"",""4.9328"",""4.9469"",""4.9214"","""",""-0.13%"""
"05/02/2023,""4.9297"",""4.9074"",""4.9358"",""4.9045"","""",""0.54%"""
"05/01/2023,""4.9031"",""4.9374"",""4.9385"",""4.9023"","""",""-0.45%"""
"04/28/2023,""4.9253"",""4.9387"",""4.9428"",""4.9255"","""",""-0.19%"""
"04/27/2023,""4.9349"",""4.9419"",""4.9465"",""4.9324"","""",""-0.07%"""
"04/26/2023,""4.9386"",""4.9350"",""4.9449"",""4.9338"","""",""0.14%"""
"04/25/2023,""4.9316"",""4.9328"",""4.9420"",""4.9296"","""",""0.08%"""
"04/24/2023,""4.9278"",""4.9379"",""4.9406"",""4.9259"","""",""-0.10%"""
"04/21/2023,""4.9327"",""4.9331"",""4.9462"",""4.9279"","""",""0.10%"""
"04/20/2023,""4.9276"",""4.9305"",""4.9415"",""4.9261"","""",""0.03%"""
"04/19/2023,""4.9262"",""4.9353"",""4.9451"",""4.9254"","""",""-0.11%"""
"04/18/2023,""4.9315"",""4.9415"",""4.9485"",""4.9317"","""",""-0.10%"""
"04/17/2023,""4.9364"",""4.9391"",""4.9472"",""4.9262"","""",""-0.08%"""
"04/14/2023,""4.9404"",""4.9360"",""4.9510"",""4.9310"","""",""0.18%"""
"04/13/2023,""4.9317"",""4.9384"",""4.9536"",""4.9324"","""",""-0.06%"""
"04/12/2023,""4.9345"",""4.9362"",""4.9587"",""4.9288"","""",""0.03%"""
"04/11/2023,""4.9328"",""4.9306"",""4.9412"",""4.9068"","""",""0.11%"""
"04/10/2023,""4.9272"",""4.9362"",""4.9434"",""4.9230"","""",""-0.08%"""
"04/07/2023,""4.9309"",""4.9382"",""4.9430"",""4.9262"","""",""-0.05%"""
"04/06/2023,""4.9335"",""4.9335"",""4.9420"",""4.9299"","""",""0.09%"""
"04/05/2023,""4.9293"",""4.9302"",""4.9471"",""4.9264"","""",""0.06%"""
"04/04/2023,""4.9265"",""4.9341"",""4.9427"",""4.9263"","""",""-0.08%"""
"04/03/2023,""4.9302"",""4.9502"",""4.9521"",""4.9230"","""",""-0.28%"""
"03/31/2023,""4.9438"",""4.9496"",""4.9549"",""4.9412"","""",""0.00%"""
"03/30/2023,""4.9439"",""4.9546"",""4.9624"",""4.9443"","""",""-0.14%"""
"03/29/2023,""4.9508"",""4.9515"",""4.9639"",""4.9446"","""",""0.07%"""
"03/28/2023,""4.9472"",""4.9419"",""4.9622"",""4.9366"","""",""0.19%"""
"03/27/2023,""4.9378"",""4.9321"",""4.9474"",""4.9233"","""",""0.25%"""
"03/24/2023,""4.9257"",""4.9234"",""4.9345"",""4.9190"","""",""0.09%"""
"03/23/2023,""4.9212"",""4.9188"",""4.9283"",""4.9150"","""",""0.17%"""
"03/22/2023,""4.9130"",""4.9236"",""4.9436"",""4.9132"","""",""-0.16%"""
"03/21/2023,""4.9211"",""4.9217"",""4.9292"",""4.9154"","""",""0.08%"""
"03/20/2023,""4.9171"",""4.9369"",""4.9415"",""4.9172"","""",""-0.02%"""
"03/17/2023,""4.9179"",""4.9194"",""4.9275"",""4.9116"","""",""0.08%"""
"03/16/2023,""4.9141"",""4.9166"",""4.9299"",""4.9127"","""",""0.03%"""
"03/15/2023,""4.9126"",""4.9201"",""4.9313"",""4.9111"","""",""-0.09%"""
"03/14/2023,""4.9170"",""4.9195"",""4.9313"",""4.9157"","""",""0.03%"""
"03/13/2023,""4.9153"",""4.9173"",""4.9582"",""4.9117"","""",""0.05%"""
"03/10/2023,""4.9130"",""4.9121"",""4.9249"",""4.8973"","""",""0.11%"""
